Crash Number,Crash Date,Crash Time
3370853,3/8/2013,8:30 AM
3370854,1/27/2013,9:34 AM
3370855,3/7/2013,11:58 PM
3370864,1/25/2013,2:55 PM
3370872,1/25/2013,7:40 PM
3370873,2/8/2013,7:50 AM
3670254,2/21/2013,3:40 PM
3391227,1/26/2013,12:16 PM
3391230,1/29/2013,2:47 PM
3391296,3/5/2013,00:00 AM
3391332,1/31/2013,9:13 AM
3391353,1/18/2013,4:52 AM
3391354,1/18/2013,11:49 AM
3391456,2/18/2013,9:29 AM
3391457,2/17/2013,10:38 AM
3391464,3/7/2013,3:42 PM
3391468,2/25/2013,8:45 AM
3602339,1/25/2013,11:15 PM
3602341,1/26/2013,12:18 PM
3602343,1/27/2013,8:35 PM
3602344,1/28/2013,6:21 PM
3602349,2/7/2013,9:32 AM
3602354,2/13/2013,8:19 AM
3602356,2/15/2013,7:52 AM
3602366,2/25/2013,6:26 AM
3602368,2/26/2013,9:53 PM
3602371,3/4/2013,12:04 PM
3602373,3/6/2013,6:19 PM
3602377,3/10/2013,5:29 PM
3602378,3/16/2013,10:23 AM
3602379,3/27/2013,1:12 PM
3602380,1/9/2013,7:07 AM
3427132,3/22/2013,9:45 AM
3371051,3/19/2013,2:35 PM
3371052,3/19/2013,2:57 PM
3371054,3/15/2013,4:35 PM
3371056,3/19/2013,1:11 AM
4003706,2/5/2013,3:32 PM
4003726,2/11/2013,12:26 PM
4003752,2/23/2013,1:57 PM
4003757,3/9/2013,6:12 PM
4003769,4/1/2013,12:35 PM
3492488,2/24/2013,12:06 PM
3370589,1/11/2013,8:52 AM
3370591,1/10/2013,2:52 PM
3370599,1/23/2013,6:22 PM
3370601,1/25/2013,9:30 PM
3370607,1/16/2013,7:34 AM
3370609,1/16/2013,6:53 AM
3370613,1/16/2013,7:54 AM
3370616,3/8/2013,3:50 AM
3370639,1/16/2013,5:10 AM
3370648,1/28/2013,9:27 AM
3370662,1/20/2013,10:00 PM
3370663,1/1/2013,4:27 PM
3370664,1/13/2013,3:40 PM
3370672,1/25/2013,5:15 PM
3370673,1/15/2013,5:30 PM
3370674,1/25/2013,5:43 PM
3370677,1/25/2013,8:00 PM
3370680,1/25/2013,3:00 PM
3370683,1/25/2013,1:37 AM
3370684,1/24/2013,6:05 PM
3370688,1/23/2013,10:00 AM
3370689,1/23/2013,10:25 AM
3370692,1/21/2013,8:00 PM
3370696,1/27/2013,9:45 AM
3370697,1/26/2013,5:51 PM
3370699,1/26/2013,2:58 PM
3370703,3/7/2013,7:32 AM
3370705,3/7/2013,6:33 AM
3370716,1/26/2013,00:00 AM
3370719,1/29/2013,7:44 AM
3370721,1/28/2013,2:24 PM
3370726,1/21/2013,3:54 PM
3370729,1/24/2013,4:41 PM
3370738,1/17/2013,7:56 AM
3370741,1/17/2013,5:13 PM
3370749,1/20/2013,2:20 AM
3370752,1/12/2013,7:37 PM
3370753,1/20/2013,7:22 PM
3370762,1/20/2013,11:30 PM
3370765,1/29/2013,5:45 AM
3370780,1/29/2013,6:22 PM
3370783,1/9/2013,12:06 PM
3370785,1/28/2013,4:49 PM
3370801,1/16/2013,12:58 PM
3370810,3/16/2013,1:59 AM
3370812,3/7/2013,12:43 PM
3370816,3/19/2013,9:47 AM
3370817,3/14/2013,3:13 PM
3370823,3/19/2013,10:15 AM
3370832,1/24/2013,11:22 AM
3370835,1/26/2013,4:47 PM
3370836,1/3/2013,8:32 AM
3370839,1/23/2013,1:48 PM
3370843,1/26/2013,7:50 PM
3370847,1/27/2013,4:40 PM
3370848,1/27/2013,2:30 PM
3370870,1/26/2013,2:49 AM
3391224,1/24/2013,4:23 PM
3391225,1/25/2013,12:14 PM
3391226,1/25/2013,5:53 PM
3391229,1/28/2013,10:31 PM
3391282,3/5/2013,12:09 PM
3391320,3/4/2013,10:00 PM
3391333,1/31/2013,2:42 PM
3391338,1/2/2013,11:23 AM
3391344,1/12/2013,4:25 PM
3391347,1/16/2013,5:35 AM
3391356,3/30/2013,8:43 PM
3391380,3/31/2013,3:15 PM
3391382,3/30/2013,7:34 AM
3391396,3/28/2013,3:53 PM
3391451,2/18/2013,8:47 PM
3391455,1/23/2013,7:17 PM
3391459,1/24/2013,5:23 PM
3391460,3/28/2013,00:00 AM
3391461,3/7/2013,12:34 PM
3391462,2/17/2013,9:58 AM
3391465,3/19/2013,8:23 AM
3391469,1/24/2013,11:28 PM
3391470,1/18/2013,5:18 PM
3602345,1/29/2013,11:03 PM
3602355,2/13/2013,3:10 PM
3602358,1/6/2013,3:38 PM
3602359,2/15/2013,3:40 PM
3602367,2/25/2013,6:51 AM
3602372,3/5/2013,1:05 PM
3602374,3/8/2013,6:43 AM
3602381,3/31/2013,6:48 PM
3602389,1/9/2013,5:08 PM
3427057,3/19/2013,8:19 AM
3427150,3/23/2013,00:00 AM
3371050,3/19/2013,9:36 AM
3371055,3/18/2013,11:10 AM
3371058,3/19/2013,7:05 AM
3371060,3/19/2013,7:25 AM
3371062,3/19/2013,2:15 PM
3371068,2/28/2013,8:00 AM
3371069,3/17/2013,10:12 PM
3371071,3/18/2013,1:30 AM
3371074,3/8/2013,5:02 AM
3371076,3/17/2013,3:53 PM
3350010,1/12/2013,10:38 AM
3350011,1/11/2013,3:31 PM
3350012,1/12/2013,2:51 PM
3350016,1/18/2013,6:59 PM
3350017,1/19/2013,4:18 PM
3350022,1/23/2013,5:55 PM
3350027,1/27/2013,7:06 PM
3350028,1/28/2013,11:51 AM
3670151,2/4/2013,5:30 AM
3370865,1/23/2013,6:02 PM
3370866,1/25/2013,6:02 PM
3370868,2/5/2013,6:17 PM
3370871,3/16/2013,12:40 PM
3670255,2/22/2013,11:15 PM
3391228,1/28/2013,2:12 PM
3391331,1/29/2013,3:50 PM
3391334,1/4/2013,7:48 PM
3391335,1/2/2013,5:55 AM
3391337,1/2/2013,10:30 AM
3391340,1/9/2013,7:47 PM
3391348,1/16/2013,6:36 AM
3391352,1/16/2013,8:23 PM
3391400,2/13/2013,11:00 PM
3391463,2/24/2013,1:04 PM
3391466,2/16/2013,8:44 AM
3602333,1/23/2013,6:59 AM
3602335,1/25/2013,9:42 AM
3602337,1/25/2013,1:22 PM
3602338,1/25/2013,1:55 PM
3602340,1/26/2013,11:53 AM
3602342,1/26/2013,7:25 PM
3602346,2/6/2013,9:50 AM
3602348,2/6/2013,9:43 PM
3602350,2/7/2013,12:11 PM
3602351,2/7/2013,2:06 PM
3602353,2/12/2013,7:39 AM
3602360,2/17/2013,1:58 AM
3602362,2/18/2013,10:04 AM
3602370,3/4/2013,7:34 AM
3602375,3/8/2013,11:39 AM
3602382,4/1/2013,7:47 AM
3427056,3/22/2013,8:09 PM
3371049,3/19/2013,10:05 AM
3371057,3/19/2013,2:00 AM
3371059,3/19/2013,7:36 AM
3371064,3/19/2013,2:29 PM
3371065,3/19/2013,2:40 PM
3371066,3/19/2013,2:30 PM
3371080,3/3/2013,3:15 AM
3371087,3/20/2013,6:30 PM
3371088,3/12/2013,4:24 PM
3371091,3/18/2013,9:05 PM
3371095,3/19/2013,10:23 AM
3371103,3/19/2013,4:31 PM
3371104,3/19/2013,8:06 PM
3371112,1/10/2013,5:46 PM
3371115,1/16/2013,6:13 PM
3371117,1/18/2013,5:21 PM
3371118,1/19/2013,11:41 PM
3371125,1/28/2013,10:26 PM
3371128,2/2/2013,10:01 PM
3371132,2/11/2013,11:06 AM
3371144,2/25/2013,4:44 AM
3371149,3/9/2013,10:18 AM
3371154,3/14/2013,5:35 PM
3371166,3/8/2013,7:16 AM
3371168,3/8/2013,9:04 AM
3371170,3/8/2013,12:10 PM
3371171,3/8/2013,2:25 PM
3371175,3/9/2013,7:21 PM
3371176,3/10/2013,10:36 AM
3371180,3/13/2013,2:35 PM
3391473,2/19/2013,5:02 PM
3391477,2/8/2013,5:13 PM
3391478,3/31/2013,7:41 PM
3391479,3/15/2013,8:02 PM
3391482,2/10/2013,9:01 PM
3391485,2/12/2013,7:56 AM
3391499,2/4/2013,5:05 AM
3391502,2/21/2013,3:51 PM
3391509,3/8/2013,5:54 AM
3391513,3/23/2013,5:59 PM
3391514,3/31/2013,1:44 AM
3391524,4/1/2013,4:55 PM
3391526,2/14/2013,10:22 AM
3391556,3/20/2013,12:57 PM
3391558,2/6/2013,7:07 AM
3391587,3/4/2013,12:30 PM
3391589,2/15/2013,11:55 AM
3391591,3/13/2013,7:00 AM
3391594,2/5/2013,9:28 AM
3391596,2/7/2013,6:35 PM
3391597,2/8/2013,9:53 AM
3391604,2/11/2013,4:03 PM
3391605,2/28/2013,1:15 PM
3391607,4/1/2013,12:49 PM
3391611,2/10/2013,2:01 PM
3391613,2/12/2013,8:21 AM
3391614,2/26/2013,2:42 PM
3391619,2/12/2013,4:57 PM
3391624,2/15/2013,4:27 PM
3391628,2/12/2013,5:32 PM
3391718,3/7/2013,6:02 PM
3391727,3/19/2013,1:52 PM
3391729,3/18/2013,8:30 AM
3391732,3/27/2013,5:34 PM
3391735,3/27/2013,4:38 PM
4003696,2/1/2013,12:00 PM
4003750,2/15/2013,4:51 PM
4003753,1/7/2013,5:40 PM
4003762,3/16/2013,1:28 PM
4003763,3/20/2013,8:15 AM
4003765,3/23/2013,4:57 AM
4003774,1/13/2013,7:49 PM
4003829,1/29/2013,3:49 PM
3976348,3/1/2013,8:35 AM
3370592,1/12/2013,11:07 AM
3370595,1/14/2013,12:24 PM
3370600,1/22/2013,3:44 PM
3370603,1/10/2013,5:49 PM
3370604,1/16/2013,8:46 AM
3370612,1/24/2013,5:51 PM
3370620,1/16/2013,6:35 AM
3370625,1/14/2013,8:42 PM
3370630,1/15/2013,9:44 PM
3370637,1/22/2013,9:18 AM
3370645,1/26/2013,12:53 PM
3370647,1/28/2013,5:15 PM
3370650,1/11/2013,3:36 PM
3370661,1/7/2013,10:18 AM
3370665,1/16/2013,7:33 AM
3370667,1/27/2013,9:14 PM
3370669,1/14/2013,5:34 PM
3370671,1/26/2013,6:30 AM
3370675,1/25/2013,11:50 PM
3370690,1/26/2013,3:00 PM
3370701,1/26/2013,2:30 PM
3370702,3/9/2013,12:23 PM
3370707,1/25/2013,6:55 PM
3370713,3/5/2013,3:00 PM
3370717,1/29/2013,7:37 PM
3370718,1/28/2013,11:54 AM
3370732,1/16/2013,5:39 AM
3370734,1/16/2013,4:21 PM
3370740,1/17/2013,12:02 PM
3370745,1/19/2013,4:12 PM
3370746,1/9/2013,9:03 AM
3370747,1/9/2013,7:29 AM
3370756,1/26/2013,2:10 AM
3370757,1/2/2013,6:20 PM
3370758,1/26/2013,12:41 PM
3370771,1/24/2013,3:48 PM
3370773,1/27/2013,8:15 AM
3370784,1/9/2013,8:05 PM
3370787,1/10/2013,10:32 PM
3370798,1/25/2013,1:09 PM
3370809,3/12/2013,1:00 PM
3370811,3/19/2013,00:00 AM
3370824,3/19/2013,9:40 AM
3370829,3/16/2013,3:19 AM
3370834,1/23/2013,9:33 PM
3370840,1/27/2013,3:54 PM
3370845,1/26/2013,2:50 PM
3370856,3/8/2013,3:56 PM
3370860,2/28/2013,2:31 PM
3370862,1/25/2013,12:15 PM
3370867,3/1/2013,2:15 PM
3370869,1/25/2013,5:57 PM
3370874,1/27/2013,6:00 PM
3391223,1/22/2013,1:04 PM
3391336,1/2/2013,9:24 AM
3391339,1/9/2013,4:41 PM
3391341,1/10/2013,10:54 AM
3391342,1/10/2013,2:43 PM
3391343,1/2/2013,4:39 PM
3391345,1/14/2013,3:51 PM
3391346,1/14/2013,4:58 PM
3391349,1/16/2013,11:17 AM
3391350,1/16/2013,1:24 PM
3391351,1/16/2013,1:30 PM
3391458,3/26/2013,10:50 AM
3602334,1/23/2013,5:54 PM
3602336,1/2/2013,5:02 PM
3602347,1/4/2013,6:37 PM
3602352,2/8/2013,11:31 PM
3602357,2/15/2013,2:32 PM
3602361,2/17/2013,1:35 AM
3602363,2/18/2013,3:56 PM
3602364,2/20/2013,10:56 AM
3602365,2/21/2013,3:03 PM
3602369,1/7/2013,11:57 AM
3602376,3/9/2013,1:09 PM
3602399,1/12/2013,3:25 PM
3427052,3/7/2013,4:07 PM
3427053,3/10/2013,1:57 AM
3427054,3/13/2013,5:01 PM
3427055,3/19/2013,8:24 AM
3371053,3/20/2013,7:05 AM
3349846,2/4/2013,6:25 AM
3349863,1/29/2013,7:36 AM
3349867,1/28/2013,11:33 AM
3349870,1/28/2013,4:41 PM
3349875,2/1/2013,4:05 PM
3349876,2/2/2013,11:59 PM
3349931,2/1/2013,5:48 PM
3349939,2/2/2013,11:00 AM
3349943,2/2/2013,5:33 PM
3349948,2/3/2013,3:51 AM
3349956,2/4/2013,10:32 AM
3349963,1/29/2013,7:03 PM
3349973,1/3/2013,12:27 PM
3349974,1/16/2013,9:03 AM
3349977,1/7/2013,3:25 PM
3371061,3/19/2013,1:51 PM
3371063,3/19/2013,2:00 PM
3371067,3/19/2013,3:36 PM
3371070,3/17/2013,10:14 PM
3371075,3/8/2013,7:53 AM
3371078,3/20/2013,7:50 AM
3371086,3/8/2013,10:50 AM
3371098,3/15/2013,1:44 PM
3371099,3/16/2013,10:39 AM
3371102,3/19/2013,9:46 AM
3371119,1/22/2013,2:17 PM
3371122,1/24/2013,1:06 PM
3371123,1/12/2013,8:22 AM
3371124,1/25/2013,11:43 PM
3371133,2/12/2013,5:32 PM
3371134,2/13/2013,3:03 PM
3371135,2/14/2013,7:07 AM
3371140,2/19/2013,10:54 AM
3371152,3/10/2013,1:39 PM
3371155,3/16/2013,3:33 AM
3371162,2/23/2013,1:56 PM
3371164,3/7/2013,8:04 AM
3371172,3/8/2013,4:10 PM
3371173,3/8/2013,9:09 PM
3371178,3/11/2013,3:12 PM
3371179,3/12/2013,8:48 AM
3493632,3/27/2013,4:33 PM
3494540,3/22/2013,00:00 AM
3391476,3/8/2013,8:15 AM
3391488,2/12/2013,1:05 PM
3391489,3/18/2013,12:50 PM
3391493,2/27/2013,12:22 PM
3391504,1/29/2013,7:21 AM
3391511,3/8/2013,6:40 AM
3391515,3/31/2013,7:44 PM
3391518,2/27/2013,8:25 AM
3391521,3/24/2013,4:03 PM
3391527,3/20/2013,8:18 AM
3391551,3/2/2013,1:00 PM
3391557,3/22/2013,1:36 PM
3391570,3/6/2013,7:53 AM
3391586,3/4/2013,1:25 PM
3391592,2/5/2013,7:50 AM
3391593,1/1/2013,1:20 AM
3391598,2/10/2013,3:43 PM
3391600,3/7/2013,1:49 AM
3391608,2/17/2013,5:16 PM
3391612,3/10/2013,12:00 PM
3391618,2/21/2013,6:29 PM
3391625,2/13/2013,10:54 AM
3391626,2/14/2013,5:49 PM
3391627,2/12/2013,6:06 PM
3391629,2/8/2013,11:08 AM
3391635,3/5/2013,7:20 AM
3391642,3/21/2013,7:26 AM
3391644,1/29/2013,3:21 PM
3391645,3/19/2013,3:01 AM
3391646,1/29/2013,8:50 AM
3391654,3/7/2013,11:17 AM
3391657,3/29/2013,6:48 AM
3391658,2/20/2013,6:22 PM
3391659,3/7/2013,3:57 PM
3391660,1/21/2013,1:50 AM
3391667,3/27/2013,6:59 PM
3391672,3/27/2013,4:19 PM
3391674,3/19/2013,3:13 PM
3391676,3/9/2013,00:00 AM
3391684,3/5/2013,1:07 PM
3391687,3/25/2013,10:51 PM
3391688,2/21/2013,10:16 AM
3391695,2/13/2013,7:54 AM
3391707,3/19/2013,9:57 PM
3391709,3/8/2013,4:48 PM
3391710,3/19/2013,3:07 AM
3391714,3/8/2013,6:42 AM
3391723,3/27/2013,7:07 AM
3391738,2/14/2013,8:02 AM
3350375,2/2/2013,4:45 PM
3350381,2/2/2013,8:00 PM
3350389,1/30/2013,11:55 PM
3350392,1/16/2013,8:10 AM
3349843,1/28/2013,2:42 PM
3349844,1/31/2013,9:06 AM
3349845,1/28/2013,2:00 PM
3349857,2/4/2013,8:40 AM
3349864,1/29/2013,7:48 AM
3349872,1/13/2013,10:43 PM
3349873,1/16/2013,12:29 PM
3349874,1/23/2013,11:36 AM
3349933,2/1/2013,6:50 PM
3349938,2/2/2013,9:32 AM
3349941,2/2/2013,10:58 AM
3349944,2/2/2013,9:39 PM
3349947,2/3/2013,3:41 AM
3349953,2/3/2013,9:00 PM
3349954,2/4/2013,00:00 AM
3349984,1/16/2013,7:02 AM
3349990,2/1/2013,12:49 PM
3349996,1/22/2013,8:05 AM
3349998,1/30/2013,12:40 PM
3350003,1/4/2013,8:22 AM
3350009,1/11/2013,5:09 PM
3350013,1/12/2013,7:15 PM
3350014,1/14/2013,1:42 PM
3350015,1/14/2013,6:32 PM
3350018,1/21/2013,2:02 PM
3350020,1/23/2013,9:38 AM
3371077,3/19/2013,3:00 PM
3371079,2/22/2013,10:00 AM
3371084,2/27/2013,10:15 AM
3371089,3/13/2013,6:31 PM
3371093,3/19/2013,7:42 AM
3371094,3/19/2013,8:07 AM
3371096,3/19/2013,5:36 PM
3371100,3/17/2013,10:08 PM
3371101,3/19/2013,8:42 AM
3371113,1/13/2013,12:33 PM
3371114,1/13/2013,1:42 PM
3371116,1/17/2013,2:00 PM
3371120,1/23/2013,12:24 PM
3371136,2/14/2013,12:48 PM
3371137,2/15/2013,4:09 PM
3371139,2/17/2013,1:56 PM
3371142,2/22/2013,2:20 PM
3371148,3/6/2013,5:53 PM
3371150,1/5/2013,8:00 PM
3371151,3/9/2013,7:15 PM
3371153,3/12/2013,2:27 AM
3371156,3/16/2013,7:30 AM
3371165,3/8/2013,4:27 AM
3371167,3/8/2013,8:55 AM
3371174,3/9/2013,8:35 AM
3493732,3/25/2013,9:49 AM
3391474,3/22/2013,9:50 AM
3391480,1/30/2013,8:39 AM
3391483,3/24/2013,11:44 PM
3391491,2/3/2013,3:26 PM
3391494,2/14/2013,2:09 PM
3391498,2/4/2013,4:40 PM
3391500,3/22/2013,5:28 PM
3391503,3/3/2013,11:29 AM
3391512,1/6/2013,7:53 AM
3391517,1/30/2013,8:27 AM
3391522,3/27/2013,3:45 PM
3391523,1/30/2013,6:38 AM
3391525,3/5/2013,12:28 PM
3391544,3/4/2013,2:40 PM
3391554,3/10/2013,00:00 AM
3391585,3/5/2013,11:12 AM
3391595,2/7/2013,3:47 PM
3391599,2/22/2013,5:15 PM
3391602,2/28/2013,3:01 AM
